"SEMEL_YISHUV","year","loc","locality","lat","long","distance","semel_map","treated","temporal_distance","number_of_red_alerts","temporal_group","turnover_percentage","post","year_election","X","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl"
53,2015,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.709354357553803,TRUE,2015,398,"עתלית","ATLIT",1,"יהודי",6820,3350,3470,1860,390,780,3010,780,9.46151869533657,720.814513991445,0.114369501466276,53.75
53,2019,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.718087995654536,TRUE,2019,402,"עתלית","ATLIT",1,"יהודי",8875,4433,4441,2795,502,849,3799,928,9.46151869533657,938.010089688281,0.10456338028169,NA
53,2019,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.715947136563877,TRUE,2019.4,402,"עתלית","ATLIT",1,"יהודי",8875,4433,4441,2795,502,849,3799,928,9.46151869533657,938.010089688281,0.10456338028169,NA
53,2020,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.718966390812363,TRUE,2020,403,"עתלית","ATLIT",1,"יהודי",9731,4854,4878,3150,561,882,4144,994,9.46151869533657,1028.4818234092,0.102147775151577,NA
53,2021,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.702757756189282,TRUE,2021,399,"עתלית","ATLIT",1,"יהודי",10475,5202,5272,3454,604,882,4476,1059,9.46151869533657,1107.11613402645,0.10109785202864,NA
53,2022,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.72463976945245,TRUE,2022,406,"עתלית","ATLIT",1,"יהודי",10929,5405,5524,3585,692,915,4650,1088,9.46151869533657,1155.0999741074,0.0995516515692195,NA
66,2009,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.708117443868739,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2013,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.754740834386852,FALSE,2013,520,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1090,510,580,300,80,110,460,150,0.463263524519468,2352.87248468489,0.137614678899083,58
66,2015,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.75417661097852,TRUE,2015,522,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1140,530,610,330,80,100,470,150,0.463263524519468,2460.80241517502,0.131578947368421,62
66,2019,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.731981981981982,TRUE,2019,526,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1247,605,643,354,93,111,509,182,0.463263524519468,2691.77246642391,0.145950280673617,NA
66,2019,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.717171717171717,TRUE,2019.4,526,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1247,605,643,354,93,111,509,182,0.463263524519468,2691.77246642391,0.145950280673617,NA
66,2020,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.721132897603486,TRUE,2020,525,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1270,599,673,359,94,125,512,180,0.463263524519468,2741.42023444937,0.141732283464567,NA
66,2021,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.707446808510638,TRUE,2021,517,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1299,605,694,353,101,136,520,192,0.463263524519468,2804.01959413364,0.147806004618938,NA
