SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
89,עין חרוד (איחוד),עיןחרודאיחוד,136.57374429358003,0,NA,NA,no_red_alert,2013,0.0272277227722772,Party_habait_hayehudi,FALSE,2013,862,עין חרוד (איחוד),EN HAROD (IHUD),1,יהודי,550,270,280,120,30,70,220,110,0.502245759862894,1095.08142019983,0.2,57
89,עין חרוד (איחוד),עיןחרודאיחוד,136.57374429358003,0,NA,NA,no_red_alert,2015,0.0146341463414634,Party_habait_hayehudi,TRUE,2015,852,עין חרוד (איחוד),EN HAROD (IHUD),1,יהודי,530,260,270,130,30,70,200,110,0.502245759862894,1055.26027764711,0.207547169811321,47
90,חפצי-בה,חפציבה,134.85874154490543,1,6,1,temporal_distance == 6,2006,0.0115830115830116,Party_habait_hayehudi,FALSE,2006,865,חפצי-בה,HEFZI-BAH,1,NA,374,NA,NA,NA,NA,NA,NA,NA,0.346464673876395,1079.47513325248,NA,25
90,חפצי-בה,חפציבה,134.85874154490543,1,6,1,temporal_distance == 6,2009,0.0232558139534884,Party_habait_hayehudi,FALSE,2009,871,חפצי-בה,HEFZI-BAH,1,NA,391,NA,NA,NA,NA,NA,NA,NA,0.346464673876395,1128.54218476396,NA,27.5
90,חפצי-בה,חפציבה,134.85874154490543,1,6,1,temporal_distance == 6,2013,0.023728813559322,Party_habait_hayehudi,FALSE,2013,877,חפצי-בה,HEFZI-BAH,1,יהודי,450,210,240,80,30,50,160,110,0.346464673876395,1298.83371648026,0.244444444444444,31
90,חפצי-בה,חפציבה,134.85874154490543,1,6,1,temporal_distance == 6,2015,0.0099009900990099,Party_habait_hayehudi,TRUE,2015,866,חפצי-בה,HEFZI-BAH,1,יהודי,540,260,280,120,40,60,200,120,0.346464673876395,1558.60045977631,0.222222222222222,32
92,גיניגר,גיניגר,138.54723542930728,1,6,1,temporal_distance == 6,2006,0,Party_habait_hayehudi,FALSE,2006,883,גיניגר,GINNEGAR,1,NA,481,NA,NA,NA,NA,NA,NA,NA,0.535763080023701,897.78489398471,NA,44.8333333333333
92,גיניגר,גיניגר,138.54723542930728,1,6,1,temporal_distance == 6,2009,0.0135135135135135,Party_habait_hayehudi,FALSE,2009,888,גיניגר,GINNEGAR,1,NA,548,NA,NA,NA,NA,NA,NA,NA,0.535763080023701,1022.8401702778,NA,54
92,גיניגר,גיניגר,138.54723542930728,1,6,1,temporal_distance == 6,2013,0.0304709141274238,Party_habait_hayehudi,FALSE,2013,884,גיניגר,GINNEGAR,1,יהודי,610,320,290,150,40,70,250,90,0.535763080023701,1138.56296326543,0.147540983606557,50.3333333333333
92,גיניגר,גיניגר,138.54723542930728,1,6,1,temporal_distance == 6,2015,0.015748031496063,Party_habait_hayehudi,TRUE,2015,886,גיניגר,GINNEGAR,1,יהודי,660,330,320,170,40,90,260,100,0.535763080023701,1231.88779631998,0.151515151515152,58.5
94,בלפוריה,בלפוריה,136.96006874004232,1,6,1,temporal_distance == 6,2006,0.0228571428571429,Party_habait_hayehudi,FALSE,2006,902,בלפוריה,BALFURYA,1,NA,312,NA,NA,NA,NA,NA,NA,NA,1.08113543809135,288.585489853897,NA,61
94,בלפוריה,בלפוריה,136.96006874004232,1,6,1,temporal_distance == 6,2009,0.0568181818181818,Party_habait_hayehudi,FALSE,2009,907,בלפוריה,BALFURYA,1,NA,334,NA,NA,NA,NA,NA,NA,NA,1.08113543809135,308.93446670257,NA,59
94,בלפוריה,בלפוריה,136.96006874004232,1,6,1,temporal_distance == 6,2013,0.104417670682731,Party_habait_hayehudi,FALSE,2013,905,בלפוריה,BALFURYA,1,יהודי,400,200,200,100,20,60,160,60,1.08113543809135,369.981397248586,0.15,62
94,בלפוריה,בלפוריה,136.96006874004232,1,6,1,temporal_distance == 6,2015,0.0848708487084871,Party_habait_hayehudi,TRUE,2015,900,בלפוריה,BALFURYA,1,יהודי,440,220,220,120,30,60,170,60,1.08113543809135,406.979536973445,0.136363636363636,61.5
95,בית אלפא,ביתאלפא,134.9359709591093,1,6,1,temporal_distance == 6,2006,0.0025974025974026,Party_habait_hayehudi,FALSE,2006,912,בית אלפא,BET ALFA,1,NA,542,NA,NA,NA,NA,NA,NA,NA,0.570794673756121,949.553359412699,NA,27
95,בית אלפא,ביתאלפא,134.9359709591093,1,6,1,temporal_distance == 6,2009,0.00280898876404494,Party_habait_hayehudi,FALSE,2009,909,בית אלפא,BET ALFA,1,NA,936,NA,NA,NA,NA,NA,NA,NA,0.570794673756121,1639.81908562783,NA,28.75
95,בית אלפא,ביתאלפא,134.9359709591093,1,6,1,temporal_distance == 6,2013,0.00919540229885057,Party_habait_hayehudi,FALSE,2013,921,בית אלפא,BET ALFA,1,יהודי,1120,550,570,360,60,200,340,160,0.570794673756121,1962.17668365724,0.142857142857143,38
