SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2019,0.715947136563877,Party_turnout,TRUE,2019.2,467,עתלית,ATLIT,1,יהודי,8875,4433,4441,2795,502,849,3799,928,9.46151869533657,938.010089688281,0.10456338028169,NA
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2020,0.718966390812363,Party_turnout,TRUE,2020,465,עתלית,ATLIT,1,יהודי,9731,4854,4878,3150,561,882,4144,994,9.46151869533657,1028.4818234092,0.102147775151577,NA
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2021,0.702757756189282,Party_turnout,TRUE,2021,462,עתלית,ATLIT,1,יהודי,10475,5202,5272,3454,604,882,4476,1059,9.46151869533657,1107.11613402645,0.10109785202864,NA
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2022,0.72463976945245,Party_turnout,TRUE,2022,471,עתלית,ATLIT,1,יהודי,10929,5405,5524,3585,692,915,4650,1088,9.46151869533657,1155.0999741074,0.0995516515692195,NA
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2006,0.593262709066382,Party_turnout,FALSE,2006,601,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,NA,759,NA,NA,NA,NA,NA,NA,NA,0.463263524519468,1638.37634484021,NA,54
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2009,0.708117443868739,Party_turnout,FALSE,2009,595,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,NA,772,NA,NA,NA,NA,NA,NA,NA,0.463263524519468,1666.43812676765,NA,55
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2013,0.754740834386852,Party_turnout,FALSE,2013,602,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1090,510,580,300,80,110,460,150,0.463263524519468,2352.87248468489,0.137614678899083,58
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2015,0.75417661097852,Party_turnout,TRUE,2015,606,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1140,530,610,330,80,100,470,150,0.463263524519468,2460.80241517502,0.131578947368421,62
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2019,0.731981981981982,Party_turnout,TRUE,2019,604,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1247,605,643,354,93,111,509,182,0.463263524519468,2691.77246642391,0.145950280673617,NA
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2019,0.717171717171717,Party_turnout,TRUE,2019.2,604,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1247,605,643,354,93,111,509,182,0.463263524519468,2691.77246642391,0.145950280673617,NA
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2020,0.721132897603486,Party_turnout,TRUE,2020,594,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1270,599,673,359,94,125,512,180,0.463263524519468,2741.42023444937,0.141732283464567,NA
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2021,0.707446808510638,Party_turnout,TRUE,2021,600,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1299,605,694,353,101,136,520,192,0.463263524519468,2804.01959413364,0.147806004618938,NA
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2022,0.690526315789474,Party_turnout,TRUE,2022,603,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1331,639,692,344,116,150,528,192,0.463263524519468,2873.09474964733,0.144252441773103,NA
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2006,0.752391298213933,Party_turnout,FALSE,2006,682,גן שמואל,GAN SHEMU'EL,1,NA,830,NA,NA,NA,NA,NA,NA,NA,0.647847112775246,1281.16647220121,NA,61
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2009,0.741463414634146,Party_turnout,FALSE,2009,672,גן שמואל,GAN SHEMU'EL,1,NA,792,NA,NA,NA,NA,NA,NA,NA,0.647847112775246,1222.51065781127,NA,59
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2013,0.762246117084827,Party_turnout,FALSE,2013,681,גן שמואל,GAN SHEMU'EL,1,יהודי,860,410,440,190,40,110,350,160,0.647847112775246,1327.473694088,0.186046511627907,63
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2015,0.7903981264637,Party_turnout,TRUE,2015,675,גן שמואל,GAN SHEMU'EL,1,יהודי,870,420,460,200,40,110,350,180,0.647847112775246,1342.90943471693,0.206896551724138,62
