"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
163,24,"לכיש","LAKHISH",1,NA,652,NA,NA,NA,NA,NA,NA,NA,2009,1.02732294887687,634.659238083606,NA,1.783,9,20,0,0,0
164,24,"לכיש","LAKHISH",1,"יהודי",740,370,370,200,80,80,280,90,2016,1.02732294887687,720.318767150105,0.121621621621622,1.783,9,NA,0,0,0
165,24,"לכיש","LAKHISH",1,"יהודי",700,350,360,200,70,60,270,100,2014,1.02732294887687,681.382617574424,0.142857142857143,1.783,9,NA,0,0,0
166,24,"לכיש","LAKHISH",1,"יהודי",819,426,393,181,73,132,343,90,2022,1.02732294887687,797.217662562076,0.10989010989011,1.783,9,NA,0,0,0
167,24,"לכיש","LAKHISH",1,NA,553,NA,NA,NA,NA,NA,NA,NA,2006,1.02732294887687,538.292267883795,NA,1.783,9,18.5,0,0,0
168,24,"לכיש","LAKHISH",1,"יהודי",731,370,361,188,89,83,282,88,2017,1.02732294887687,711.558133495577,0.120383036935705,1.783,9,NA,0,0,0
169,24,"לכיש","LAKHISH",1,"יהודי",710,350,360,230,60,50,270,100,2013,1.02732294887687,691.116654968344,0.140845070422535,1.783,9,27.5,0,0,0
170,24,"לכיש","LAKHISH",1,"יהודי",600,0,0,0,0,0,0,0,2008,1.02732294887687,584.042243635221,0,1.783,9,NA,0,0,0
171,26,"ראש פינה","ROSH PINNA",1,NA,2675,NA,NA,NA,NA,NA,NA,NA,2009,17.1212725916229,156.238386234725,NA,0.825,7,49.9583333333333,0,0,0
172,26,"ראש פינה","ROSH PINNA",1,"יהודי",3061,1516,1545,725,225,433,1230,448,2017,17.1212725916229,178.783439351213,0.146357399542633,0.825,7,NA,0,0,0
173,26,"ראש פינה","ROSH PINNA",1,"יהודי",2850,1410,1430,680,220,400,1240,300,2013,17.1212725916229,166.459589072511,0.105263157894737,0.825,7,56.7916666666667,0,0,0
174,26,"ראש פינה","ROSH PINNA",1,"יהודי",3237,1599,1638,765,229,421,1283,540,2021,17.1212725916229,189.063049062358,0.166821130676552,0.825,7,NA,0,0,0
175,26,"ראש פינה","ROSH PINNA",1,"יהודי",3148,1550,1597,770,208,430,1250,488,2019,17.1212725916229,183.864837333426,0.155019059720457,0.825,7,NA,0,0,0
